name,length,width,height,weight,color,quantity,fragile,rotatable
Small Box,50,40,30,10,#FF5757,5,false,true
Medium Box,80,60,50,20,#5271FF,3,false,true
Large Box,120,100,80,15,#7ED957,2,false,true
Fragile Package,60,40,30,5,#FF66C4,2,true,true
Non-Rotatable Item,90,70,40,25,#00D2D3,1,false,false
Flat Panel,150,120,10,15,#FF914D,2,true,false
Heavy Equipment,100,80,60,200,#8C52FF,1,false,true
Office Supplies,70,50,40,15,#00C49A,3,false,true
Electronics Box,60,50,40,8,#43D9D9,4,true,true
Furniture Part,140,60,30,25,#FFA502,2,false,true
